,augment_training,batch_size,epochs,model_type,train_faction,train_fraction,with_fake
0,True,45,100,UNet,1,1.0,True
1,True,45,100,UNet,1,0.8,True
2,True,45,100,UNet,1,0.6,True
3,True,45,100,UNet,1,0.5,True
4,True,45,100,UNet,1,0.4,True
5,True,45,100,UNet,1,0.3,True
6,True,45,100,UNet,1,0.2,True
7,True,45,100,UNet,1,1.0,False
8,True,45,100,UNet,1,0.8,False
9,True,45,100,UNet,1,0.6,False
10,True,45,100,UNet,1,0.5,False
11,True,45,100,UNet,1,0.4,False
12,True,45,100,UNet,1,0.3,False
13,True,45,100,UNet,1,0.2,False
14,True,45,100,IUNet,1,1.0,True
15,True,45,100,IUNet,1,0.8,True
16,True,45,100,IUNet,1,0.6,True
17,True,45,100,IUNet,1,0.5,True
18,True,45,100,IUNet,1,0.4,True
19,True,45,100,IUNet,1,0.3,True
20,True,45,100,IUNet,1,0.2,True
21,True,45,100,IUNet,1,1.0,False
22,True,45,100,IUNet,1,0.8,False
23,True,45,100,IUNet,1,0.6,False
24,True,45,100,IUNet,1,0.5,False
25,True,45,100,IUNet,1,0.4,False
26,True,45,100,IUNet,1,0.3,False
27,True,45,100,IUNet,1,0.2,False
28,True,45,100,VNet,1,1.0,True
29,True,45,100,VNet,1,0.8,True
30,True,45,100,VNet,1,0.6,True
31,True,45,100,VNet,1,0.5,True
32,True,45,100,VNet,1,0.4,True
33,True,45,100,VNet,1,0.3,True
34,True,45,100,VNet,1,0.2,True
35,True,45,100,VNet,1,1.0,False
36,True,45,100,VNet,1,0.8,False
37,True,45,100,VNet,1,0.6,False
38,True,45,100,VNet,1,0.5,False
39,True,45,100,VNet,1,0.4,False
40,True,45,100,VNet,1,0.3,False
41,True,45,100,VNet,1,0.2,False
42,True,45,100,VGG,1,1.0,True
43,True,45,100,VGG,1,0.8,True
44,True,45,100,VGG,1,0.6,True
45,True,45,100,VGG,1,0.5,True
46,True,45,100,VGG,1,0.4,True
47,True,45,100,VGG,1,0.3,True
48,True,45,100,VGG,1,0.2,True
49,True,45,100,VGG,1,1.0,False
50,True,45,100,VGG,1,0.8,False
51,True,45,100,VGG,1,0.6,False
52,True,45,100,VGG,1,0.5,False
53,True,45,100,VGG,1,0.4,False
54,True,45,100,VGG,1,0.3,False
55,True,45,100,VGG,1,0.2,False
56,True,45,100,ResNet,1,1.0,True
57,True,45,100,ResNet,1,0.8,True
58,True,45,100,ResNet,1,0.6,True
59,True,45,100,ResNet,1,0.5,True
60,True,45,100,ResNet,1,0.4,True
61,True,45,100,ResNet,1,0.3,True
62,True,45,100,ResNet,1,0.2,True
63,True,45,100,ResNet,1,1.0,False
64,True,45,100,ResNet,1,0.8,False
65,True,45,100,ResNet,1,0.6,False
66,True,45,100,ResNet,1,0.5,False
67,True,45,100,ResNet,1,0.4,False
68,True,45,100,ResNet,1,0.3,False
69,True,45,100,ResNet,1,0.2,False
